qn_ans_code,qn_text,qn_type,qn_label_godata_eng,qn_label_godata_ita,qn_label_godata_ara,qn_label_godata_ukr,ans_label,ans_value,qn_label,accept_na
Q1A2Q29A2,"Is PPE available in sufficient quantity in the health care facility (including medical/surgical masks, face shield or goggles/glasses, gloves, gown & coverall, head cover, respirator (e.g. N95, FFP2 or equivalent), shoe covers)?",Single Answer,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,No,No,ppe_avail,0
Q1A2Q29A3,"Is PPE available in sufficient quantity in the health care facility (including medical/surgical masks, face shield or goggles/glasses, gloves, gown & coverall, head cover, respirator (e.g. N95, FFP2 or equivalent), shoe covers)?",Single Answer,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,is_ppe_available_in_sufficient_quantity_in_the_health_care_facility,Unknown,Unknown,ppe_avail,0
Q1A2Q29A2Q1A1,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Medical/surgical masks,Medical/surgical masks,ppe_avail_missing,1
Q1A2Q29A2Q1A2,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Face shield or goggles/glasses,Face shield or goggles/glasses,ppe_avail_missing,1
Q1A2Q29A2Q1A3,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Gloves,Gloves,ppe_avail_missing,1
Q1A2Q29A2Q1A4,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Gown and coverall,Gown and coverall,ppe_avail_missing,1
Q1A2Q29A2Q1A5,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Head cover,Head cover,ppe_avail_missing,1
Q1A2Q29A2Q1A6,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,"Respirator (e.g. N95, FFP2 or equivalent) to be used when exposed to aerosol-generating procedures","Respirator (e.g. N95, FFP2 or equivalent) to be used when exposed to aerosol-generating procedures",ppe_avail_missing,1
Q1A2Q29A2Q1A7,"If no, which PPE is missing?",Multiple answers,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,if_no_which_ppe_is_missing,Shoe covers,Shoe covers,ppe_avail_missing,1
Q1A2Q3,Form completion date ,Date/Time,form_completion_date,form_completion_date,form_completion_date,form_completion_date,NA,NA,init_form_date,0
Q1A2Q30A1,"Date of admission of COVID-19 confirmed patient (If you were exposed to more than one COVID-19 patient, please provide the earliest admission date among them)",Single Answer,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,I remember the date,I remember the date,covid_pt_admission_earliest,0
Q1A2Q30A1Q1,Enter date,Date/Time,enter_date_exposure,enter_date_exposure,enter_date_exposure,enter_date_exposure,NA,NA,covid_pt_admission_earliest_date,1
Q1A2Q30A2,"Date of admission of COVID-19 confirmed patient (If you were exposed to more than one COVID-19 patient, please provide the earliest admission date among them)",Single Answer,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,date_of_admission_of_covid_19_confirmed_patient_if_you_were_exposed_to_more_than_one_covid_19_patients_please_input_the_earliest_admission_date_of_them,Unknown,Unknown,covid_pt_admission_earliest,0
Q1A2Q31,How many COVID-19 patients have you been exposed to during your occupational duties? (a range is also permissible),Freetext,to_how_many_covid_19_patients_have_you_been_exposed_to_during_your_occupational_duties_number_also_a_range_is_possible,to_how_many_covid_19_patients_have_you_been_exposed_to_during_your_occupational_duties_number_also_a_range_is_possible,to_how_many_covid_19_patients_have_you_been_exposed_to_during_your_occupational_duties_number_also_a_range_is_possible,to_how_many_covid_19_patients_have_you_been_exposed_to_during_your_occupational_duties_number_also_a_range_is_possible,NA,NA,covid_pt_noexposed,0
Q1A2Q32A1,Have you had close contact (within 1 metre) with the patient(s) since their admission?,Single Answer,have_you_had_close_contact_within_1_meter_with_the_patient_s_since_his_her_admission,have_you_had_close_contact_within_1_meter_with_the_patient_s_since_his_her_admission,have_you_had_close_contact_within_1_meter_with_the_patient_s_since_his_her_admission,have_you_had_close_contact_within_1_meter_with_the_patient_s_since_his_her_admission,Yes,Yes,contact_1m,0
Q1A2Q32A1Q1A1,How many times (total)?,Multiple answers,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,<10 times,<10 times,contact_1m_no,1
Q1A2Q32A1Q1A2,How many times (total)?,Multiple answers,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,10-50 times,10-50 times,contact_1m_no,1
Q1A2Q32A1Q1A3,How many times (total)?,Multiple answers,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,>50 times,>50 times,contact_1m_no,1
Q1A2Q32A1Q1A4,How many times (total)?,Multiple answers,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,if_yes_how_many_times_total,"Please specify exactly how many times (if you can recall, optional):","Please specify exactly how many times (if you can recall, optional):",contact_1m_no,1
Q1A2Q32A1Q1A4Q1,Enter number,Numeric,enter_number,enter_number,enter_number,enter_number,NA,NA,contact_1m_no_specify,1
Q1A2Q32A1Q2A1,What was the maximum amount of time you spent with a COVID-19 patient?,Single Answer,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,<5 minutes,<5 minutes,contact_1m_dur,1
Q1A2Q32A1Q2A2,What was the maximum amount of time you spent with a COVID-19 patient?,Single Answer,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,5-15 minutes,5-15 minutes,contact_1m_dur,1
Q1A2Q32A1Q2A3,What was the maximum amount of time you spent with a COVID-19 patient?,Single Answer,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,what_was_the_maximum_amount_of_time_you_spent_with_a_covid_19_patient,>15 minutes,>15 minutes,contact_1m_dur,1
Q1A2Q32A1Q3A1,Did you have prolonged face-to-face exposure (>15 minutes)?,Single Answer,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,Yes,Yes,contact_1m_prolong15min,1
Q1A2Q32A1Q3A1Q1A1,Did you wear PPE?,Single Answer,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,Yes,Yes,contact_1m_prolong15min_ppe,1
Q1A2Q32A1Q3A1Q1A1Q1A1,What type?,Multiple answers,what_type,what_type,what_type,what_type,Medical/surgical mask,Medical/surgical mask,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A1Q1,"If you were wearing a medical/surgical mask, what type?",Freetext,if_you_were_wearing_a_medical_surgical_mask_what_type,if_you_were_wearing_a_medical_surgical_mask_what_type,if_you_were_wearing_a_medical_surgical_mask_what_type,if_you_were_wearing_a_medical_surgical_mask_what_type,NA,NA,contact_1m_prolong15min_ppe_type_masktype,1
Q1A2Q32A1Q3A1Q1A1Q1A2,What type?,Multiple answers,what_type,what_type,what_type,what_type,Face shield,Face shield,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A3,What type?,Multiple answers,what_type,what_type,what_type,what_type,Gloves,Gloves,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A3Q1A1,"If you were wearing gloves, did you remove them after contact with the patient?",Single Answer,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,Yes,Yes,contact_1m_prolong15min_ppe_type_gloveremoveaft,1
Q1A2Q32A1Q3A1Q1A1Q1A3Q1A2,"If you were wearing gloves, did you remove them after contact with the patient?",Single Answer,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,No,No,contact_1m_prolong15min_ppe_type_gloveremoveaft,1
Q1A2Q32A1Q3A1Q1A1Q1A3Q1A3,"If you were wearing gloves, did you remove them after contact with the patient?",Single Answer,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,if_you_were_wearing_gloves_did_you_remove_them_after_contact_with_the_patient,Unknown,Unknown,contact_1m_prolong15min_ppe_type_gloveremoveaft,1
Q1A2Q32A1Q3A1Q1A1Q1A4,What type?,Multiple answers,what_type,what_type,what_type,what_type,Goggles/glasses,Goggles/glasses,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A5,What type?,Multiple answers,what_type,what_type,what_type,what_type,Gown,Gown,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A6,What type?,Multiple answers,what_type,what_type,what_type,what_type,Coverall,Coverall,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A7,What type?,Multiple answers,what_type,what_type,what_type,what_type,Head cover,Head cover,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A8,What type?,Multiple answers,what_type,what_type,what_type,what_type,"Respirator (e.g. N95, FFP2 or equivalent)","Respirator (e.g. N95, FFP2 or equivalent)",contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A1Q1A8Q1A1,"If you were wearing a respirator, was it test fitted?",Single Answer,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,Yes,Yes,contact_1m_prolong15min_ppe_type_resptestfit,1
Q1A2Q32A1Q3A1Q1A1Q1A8Q1A2,"If you were wearing a respirator, was it test fitted?",Single Answer,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,No,No,contact_1m_prolong15min_ppe_type_resptestfit,1
Q1A2Q32A1Q3A1Q1A1Q1A8Q1A3,"If you were wearing a respirator, was it test fitted?",Single Answer,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,if_you_were_wearing_a_respirator_was_it_test_fitted,Unknown,Unknown,contact_1m_prolong15min_ppe_type_resptestfit,1
Q1A2Q32A1Q3A1Q1A1Q1A9,What type?,Multiple answers,what_type,what_type,what_type,what_type,Shoe covers,Shoe covers,contact_1m_prolong15min_ppe_type,1
Q1A2Q32A1Q3A1Q1A2,Did you wear PPE?,Single Answer,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,No,No,contact_1m_prolong15min_ppe,1
Q1A2Q32A1Q3A1Q1A3,Did you wear PPE?,Single Answer,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,did_you_wear_ppe,Unknown,Unknown,contact_1m_prolong15min_ppe,1
Q1A2Q32A1Q3A2,Did you have prolonged face-to-face exposure (>15 minutes)?,Single Answer,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,No,No,contact_1m_prolong15min,1
Q1A2Q32A1Q3A3,Did you have prolonged face-to-face exposure (>15 minutes)?,Single Answer,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,did_you_have_prolonged_face_to_face_exposure_15_minutes,Unknown,Unknown,contact_1m_prolong15min,1
Q1A2Q32A1Q4A1,Did you perform hand hygiene before contact with the patient?,Single Answer,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,"Always, as recommended","Always, as recommended",contact_1m_hhbf,1
Q1A2Q32A1Q4A1Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhbf_always_alcsoap,1
Q1A2Q32A1Q4A1Q1A2,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,Soap and water,Soap and water,contact_1m_hhbf_always_alcsoap,1
Q1A2Q32A1Q4A1Q1A3,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,what_do_you_use_to_wash_your_hands,Water,Water,contact_1m_hhbf_always_alcsoap,1
Q1A2Q32A1Q4A2,Did you perform hand hygiene before contact with the patient?,Single Answer,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,Most of the time,Most of the time,contact_1m_hhbf,1
Q1A2Q32A1Q4A2Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhbf_most_alcsoap,1
Q1A2Q32A1Q4A2Q1A2,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,Soap and water,Soap and water,contact_1m_hhbf_most_alcsoap,1
Q1A2Q32A1Q4A2Q1A3,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8,Water,Water,contact_1m_hhbf_most_alcsoap,1
Q1A2Q32A1Q4A3,Did you perform hand hygiene before contact with the patient?,Single Answer,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,Occasionally,Occasionally,contact_1m_hhbf,1
Q1A2Q32A1Q4A3Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhbf_occasion_alcsoap,1
Q1A2Q32A1Q4A3Q1A2,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,Soap and water,Soap and water,contact_1m_hhbf_occasion_alcsoap,1
Q1A2Q32A1Q4A3Q1A3,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699,Water,Water,contact_1m_hhbf_occasion_alcsoap,1
Q1A2Q32A1Q4A4,Did you perform hand hygiene before contact with the patient?,Single Answer,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,Rarely,Rarely,contact_1m_hhbf,1
Q1A2Q32A1Q4A4Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhbf_rare_alcsoap,1
Q1A2Q32A1Q4A4Q1A2,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,Soap and water,Soap and water,contact_1m_hhbf_rare_alcsoap,1
Q1A2Q32A1Q4A4Q1A3,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_bbd5cdb9-8d74-4b15-b2eb-addaad9de699_clone_c4afee02-84e4-43fc-ad6f-7ebf9d9073d2,Water,Water,contact_1m_hhbf_rare_alcsoap,1
Q1A2Q32A1Q4A5,Did you perform hand hygiene before contact with the patient?,Single Answer,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,did_you_perform_hand_hygiene_before_contact_with_the_patient,Never,Never,contact_1m_hhbf,1
Q1A2Q32A1Q5A1,Did you perform hand hygiene after contact with the patient?,Single Answer,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,"Always, as recommended","Always, as recommended",contact_1m_hhaft,1
Q1A2Q32A1Q5A1Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhaft_always_alcsoap,1
Q1A2Q32A1Q5A1Q1A2,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,Soap and water,Soap and water,contact_1m_hhaft_always_alcsoap,1
Q1A2Q32A1Q5A1Q1A3,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,what_do_you_use_to_wash_your_hands_clone_67111f76-d5c2-4bb4-b6f2-f315f55d7b2d,Water,Water,contact_1m_hhaft_always_alcsoap,1
Q1A2Q32A1Q5A2,Did you perform hand hygiene after contact with the patient?,Single Answer,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,did_you_perform_hand_hygiene_after_contact_with_the_patient,Most of the time,Most of the time,contact_1m_hhaft,1
Q1A2Q32A1Q5A2Q1A1,What do you use to wash your hands?,Multiple answers,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_c775d072-23ef-4857-9dd5-c04277d1ca52,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_c775d072-23ef-4857-9dd5-c04277d1ca52,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_c775d072-23ef-4857-9dd5-c04277d1ca52,what_do_you_use_to_wash_your_hands_clone_cac202d4-860b-4ba1-ba20-ff7d12e0fad8_clone_c775d072-23ef-4857-9dd5-c04277d1ca52,Alcohol-based hand rub,Alcohol-based hand rub,contact_1m_hhaft_most_alcsoap,1
